Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME,BMI
bdd640fb-0667-1ad1-1c80-317fa3b1799d,1957-04-08,,999-27-2679,,,Ms.,First0,Last0,,,M,other,hispanic,M,Boston MA US,31 Main St,Boston,Massachusetts,Suffolk County,25025,04582,42.0327,-70.898,30256.03,14604.37,111924,27.5
47378190-96da-1dac-72ff-5d2a386ecbe0,1991-01-25,,999-30-7924,,,Mrs.,First1,Last1,,,S,black,nonhispanic,F,Boston MA US,105 Main St,Boston,Massachusetts,Suffolk County,25025,07224,41.8967,-70.6525,32167.67,16335.44,115647,26.1
60e7a113-ec1b-8ca1-f91e-1d4c1ff49b78,1945-09-10,,999-90-6925,,,Ms.,First2,Last2,,,M,white,nonhispanic,M,Boston MA US,792 Main St,Worcester,Massachusetts,Suffolk County,25025,02307,42.6553,-70.6335,22105.68,9614.8,67819,21.2
4458a885-ab90-99a4-35a2-40ae5af30553,1984-11-21,,999-19-3803,,,Ms.,First3,Last3,,,M,black,hispanic,F,Boston MA US,277 Main St,Lowell,Massachusetts,Suffolk County,25025,04598,42.4846,-70.6571,39920.0,5351.91,24207,31.8
3602f8ac-10f1-bc81-448a-aa9e66b2bc5b,1998-10-23,,999-50-4483,,,Ms.,First4,Last4,,,S,hispanic,hispanic,M,Boston MA US,272 Main St,Springfield,Massachusetts,Suffolk County,25025,05040,42.545,-70.961,38615.62,9140.24,96484,25.1
2369b584-ff5e-9ff0-ff50-bde4382567b8,1972-08-03,,999-16-2796,,,Mr.,First5,Last5,,,M,hispanic,nonhispanic,F,Boston MA US,391 Main St,Lowell,Massachusetts,Suffolk County,25025,08668,42.3291,-70.5289,43735.09,1218.14,114466,20.4
444ea7c8-c039-8710-8976-e334e2817efd,1989-11-11,,999-24-5808,,,Mrs.,First6,Last6,,,M,hispanic,nonhispanic,F,Boston MA US,996 Main St,Lowell,Massachusetts,Suffolk County,25025,03927,42.3077,-71.3936,33138.51,16991.72,86540,28.5
295b4715-c333-e861-5fb8-d16c2720797d,1974-09-01,,999-86-6310,,,Mrs.,First7,Last7,,,M,white,hispanic,F,Boston MA US,246 Main St,Boston,Massachusetts,Suffolk County,25025,04946,42.678,-70.5531,8854.41,10233.82,29071,34.6
20de435d-2031-d750-c40d-b9b4885f6e66,1982-08-18,,999-31-5342,,,Ms.,First8,Last8,,,S,black,nonhispanic,F,Boston MA US,409 Main St,Worcester,Massachusetts,Suffolk County,25025,08177,42.6996,-71.0485,16155.75,2216.49,22757,28.2
01d74256-3860-2ab6-96a4-02f23ae8cc93,1944-12-21,,999-17-4750,,,Mr.,First9,Last9,,,M,asian,nonhispanic,M,Boston MA US,286 Main St,Cambridge,Massachusetts,Suffolk County,25025,04510,42.3392,-70.7766,44707.24,11948.02,51850,31.4
